defeito,desvio_padrao,kurtosis,rms,frequencia_1,amplitude_1,frequencia_2,amplitude_2,frequencia_3,amplitude_3,frequencia_4,amplitude_4,frequencia_5,amplitude_5
Sobrecarga9,0.041385226,1.0323461858212335,0.041385252,968.6175712938102,0.002954383409649164,675.2122487482766,0.002344843242801613,675.0122451200929,0.0022335466046205146,968.817574921994,0.0017265167199154998,1086.0197010376605,0.0016903663795169654
Sobrecarga9,0.04053775,1.302956537812432,0.040537775,970.4176039474638,0.0028436818604622117,676.4122705173789,0.0018944812830376469,676.2122668891952,0.001846091551539575,970.2176003192801,0.001843178447797383,980.2177817284667,0.0016848527180607828
Sobrecarga9,0.040351693,1.0786631847586596,0.040351756,968.6175712938102,0.0026000158386865696,675.0122451200929,0.002580995439755497,675.2122487482766,0.001965261028139551,1086.0197010376605,0.0016870861911683793,381.6069225745592,0.0016618187719666434
Sobrecarga9,0.04051218,1.052567427018296,0.04051221,969.2175821783615,0.0028110171242009202,675.612256004644,0.002451073914107971,675.4122523764603,0.002359413986170297,1086.6197119222118,0.0016426490083365942,998.61811552137,0.0016174331174515562
Sobrecarga9,0.04149575,0.9557549289568201,0.041495778,676.0122632610115,0.002801831718436423,969.8175930629127,0.0023136155013266874,970.0175966910964,0.002134493287144463,823.014929976054,0.0016928457568294206,702.8127494376315,0.0016558659732275555
Sobrecarga9,0.04165524,0.9078379880440446,0.04165527,970.2176003192801,0.0029682710925805047,676.2122668891952,0.002878804913069964,823.2149336042377,0.002061241836020257,703.2127566939989,0.0019112130634706633,382.20693345911036,0.0016962248709523951
Sobrecarga9,0.04054444,1.0911990047037339,0.040544465,675.612256004644,0.0023306494713654117,969.2175821783615,0.002319709394323998,998.61811552137,0.0018154181191448885,381.8069262027429,0.001693161629854805,675.4122523764603,0.001667129869235565
Sobrecarga9,0.039734956,1.271066826332298,0.039734982,970.4176039474638,0.0025972749871798215,676.4122705173789,0.0018757100682256366,676.2122668891952,0.0016885822696778134,999.8181372904724,0.001681777221329503,970.2176003192801,0.001606163506998215
Sobrecarga9,0.040676318,1.1985558857878775,0.040676344,970.2176003192801,0.002373253527600918,676.2122668891952,0.0018823012636266356,970.0175966910964,0.0017154140860692983,735.0133335752122,0.0017093008457510534,972.6176438574848,0.0016748337097665658
Sobrecarga9,0.040882755,1.0732477208407953,0.040882777,675.2122487482766,0.002649851950446998,968.6175712938102,0.0024134663959137805,968.817574921994,0.0020118535106452805,675.0122451200929,0.0018539457321014815,381.6069225745592,0.0017024020806272956
Sobrecarga9,0.041319747,1.0246936531944009,0.041319773,675.8122596328278,0.0023502152957346396,969.6175894347289,0.002344150736717828,999.0181227777374,0.0018392751337966767,382.0069298309266,0.001707371240973395,734.6133263188448,0.001384790963570886
Sobrecarga9,0.041649383,0.9856061617508654,0.041649405,675.4122523764603,0.0028057866121243974,969.0175785501777,0.002568681664926189,822.214915463319,0.0020236578472015896,675.2122487482766,0.0016734697835312552,1086.419708294028,0.0016481513946273014
Sobrecarga9,0.041463748,1.0580662284627023,0.041463777,702.6127458094478,0.002323099560842208,969.6175894347289,0.0022707207484322146,675.8122596328278,0.0022311749015830424,969.4175858065452,0.0019298828588772306,675.612256004644,0.0018611247435620058
Sobrecarga9,0.040911715,1.058332703102744,0.040911745,675.4122523764603,0.0023659035030421894,969.0175785501777,0.002102201403461197,969.2175821783615,0.0018479153166292546,998.4181118931862,0.0018314483361516287,702.2127385530803,0.0016887532512549557
Sobrecarga9,0.041676365,1.02419450627343,0.041676383,968.817574921994,0.0031957057665604953,675.2122487482766,0.002732139213930228,983.4178397794063,0.001810355672318119,1086.2197046658441,0.001764876594805438,702.0127349248966,0.0015912433956703712
Sobrecarga9,0.041087322,1.0552071658605495,0.041087348,675.2122487482766,0.002908119147311183,968.6175712938102,0.002492672970243104,968.817574921994,0.0022064867930584355,675.0122451200929,0.0019859886568674642,381.6069225745592,0.0016281525312698021
Sobrecarga9,0.04093141,1.0253200895102301,0.040931437,969.2175821783615,0.0026877846276123466,675.612256004644,0.0026481506431753595,702.412742181264,0.0022380530064632586,969.4175858065452,0.0019605013776201525,675.4122523764603,0.0018470204388549506
Sobrecarga9,0.04098687,1.0103937774702247,0.040986888,675.612256004644,0.002918035697340911,969.4175858065452,0.0027207774847209923,675.8122596328278,0.0015980861330652165,1086.8197155503954,0.0015300252579003393,1087.0197191785792,0.001518057002599319
Sobrecarga9,0.041428454,0.9570576904536314,0.041428477,969.8175930629127,0.0026213362433902382,970.0175966910964,0.002528679408148235,676.0122632610115,0.0023903343477306676,823.014929976054,0.002001407645876509,1087.4197264349466,0.001789121186719374
Sobrecarga9,0.040893614,1.0421462903598702,0.040893644,675.4122523764603,0.0027802937657439675,969.0175785501777,0.0026054045658257677,998.4181118931862,0.0018218438919937602,702.2127385530803,0.0017733891254314998,978.8177563311806,0.0015683532884940901
Sobrecarga9,0.041065678,1.079793871300847,0.041065708,675.2122487482766,0.0023168136452583962,675.4122523764603,0.002180029991607677,968.817574921994,0.0021656262644666564,969.0175785501777,0.0018824808315701194,998.2181082650025,0.001711948413594184
Sobrecarga9,0.041303672,0.8894127399033924,0.041303694,970.0175966910964,0.003276852011904575,676.0122632610115,0.002060161580798721,970.2176003192801,0.0019502331139602984,1087.6197300631304,0.001804579146381318,676.2122668891952,0.0017016011258238098
Sobrecarga9,0.04008629,1.1755571759076853,0.040086336,675.8122596328278,0.0026956054521796073,969.6175894347289,0.0024310998147680316,734.6133263188448,0.0017452509049302543,999.0181227777374,0.0017433045159768723,1087.2197228067628,0.0017076643097052242
